beta_1,beta_2,t_b,xi,n,givenModel,t_b_estMean,t_b_estVar,selRate_NLL,selRate_AIC,selRate_BIC,"selNum_NLL_Gev(0, 0)","selNum_NLL_Gev(0, 1)","selNum_NLL_Gev(1, 0)","selNum_NLL_Gev(1, 1)","selNum_AIC_Gev(0, 0)","selNum_AIC_Gev(0, 1)","selNum_AIC_Gev(1, 0)","selNum_AIC_Gev(1, 1)","selNum_BIC_Gev(0, 0)","selNum_BIC_Gev(0, 1)","selNum_BIC_Gev(1, 0)","selNum_BIC_Gev(1, 1)"
1,4,0.5,0,30,"GEV(1, 1)",0.501966667,0.004350483,0.979,0.363,0.21,1,20,0,979,1,635,1,363,1,783,6,210
1,4,0.5,-0.1,30,"GEV(1, 1)",0.503066667,0.003665372,0.982,0.358,0.25,0,18,0,982,0,642,0,358,0,746,4,250
1,4,0.5,-0.2,30,"GEV(1, 1)",0.504133333,0.003964658,0.971,0.379,0.258,0,29,0,971,0,621,0,379,0,741,1,258
1,4,0.5,0.1,30,"GEV(1, 1)",0.497866667,0.004270831,0.981,0.343,0.214,0,19,0,981,0,656,1,343,0,782,4,214
1,4,0.5,0.2,30,"GEV(1, 1)",0.4977,0.003643909,0.984,0.359,0.213,0,16,0,984,0,641,0,359,0,784,3,213
2,-1,0.5,0,30,"GEV(1, 1)",0.5303,0.061070759,0.996,0.463,0.187,0,4,0,996,204,307,26,463,584,181,48,187
2,-1,0.5,-0.1,30,"GEV(1, 1)",0.5349,0.05899543,0.994,0.488,0.204,0,6,0,994,185,300,27,488,576,166,54,204
2,-1,0.5,-0.2,30,"GEV(1, 1)",0.5291,0.057338306,0.995,0.521,0.252,0,5,0,995,196,266,17,521,519,167,62,252
2,-1,0.5,0.1,30,"GEV(1, 1)",0.516966667,0.063223133,1,0.484,0.181,0,0,0,1000,183,303,30,484,587,174,58,181
2,-1,0.5,0.2,30,"GEV(1, 1)",0.533866667,0.062108491,0.999,0.5,0.23,1,0,0,999,167,304,29,500,505,204,61,230
2,-2,0.5,0,30,"GEV(1, 1)",0.542866667,0.031040156,0.998,0.71,0.424,1,1,0,998,68,218,4,710,290,248,38,424
2,-2,0.5,-0.1,30,"GEV(1, 1)",0.5237,0.03357077,0.997,0.703,0.454,0,3,0,997,75,216,6,703,288,237,21,454
2,-2,0.5,-0.2,30,"GEV(1, 1)",0.519866667,0.029866293,0.991,0.732,0.481,0,9,0,991,54,205,9,732,242,238,39,481
2,-2,0.5,0.1,30,"GEV(1, 1)",0.5351,0.028757859,0.996,0.756,0.493,0,4,0,996,44,194,6,756,244,242,21,493
2,-2,0.5,0.2,30,"GEV(1, 1)",0.534966667,0.024153708,1,0.783,0.499,0,0,0,1000,45,171,1,783,238,242,21,499
2,-4,0.5,0,30,"GEV(1, 1)",0.5092,0.003625652,0.994,0.623,0.459,0,6,0,994,3,374,0,623,3,538,0,459
2,-4,0.5,-0.1,30,"GEV(1, 1)",0.5032,0.002983855,0.996,0.581,0.409,0,3,1,996,0,418,1,581,0,588,3,409
2,-4,0.5,-0.2,30,"GEV(1, 1)",0.5044,0.004611919,0.992,0.603,0.447,2,6,0,992,3,394,0,603,3,550,0,447
